ปี,เดือน,ปริมาณฝน (มม.),จังหวัด
2513,ม.ค.,4.21,แพร่
2513,ก.พ.,3.69,แพร่
2513,มี.ค.,33.94,แพร่
2513,เม.ย.,83.1,แพร่
2513,พ.ค.,220.81,แพร่
2513,มิ.ย.,290.8,แพร่
2513,ก.ค.,171.31,แพร่
2513,ส.ค.,390.22,แพร่
2513,ก.ย.,306.82,แพร่
2513,ต.ค.,86.96,แพร่
2513,พ.ย.,7.45,แพร่
2513,ธ.ค.,15.07,แพร่
2514,ม.ค.,0.96,แพร่
2514,ก.พ.,3.35,แพร่
2514,มี.ค.,18.81,แพร่
2514,เม.ย.,82.77,แพร่
2514,พ.ค.,312.6,แพร่
2514,มิ.ย.,163.17,แพร่
2514,ก.ค.,284.85,แพร่
2514,ส.ค.,258.14,แพร่
2514,ก.ย.,181.96,แพร่
2514,ต.ค.,105.39,แพร่
2514,พ.ย.,8.02,แพร่
2514,ธ.ค.,7.31,แพร่
2515,ม.ค.,0.47,แพร่
2515,ก.พ.,16.58,แพร่
2515,มี.ค.,22.55,แพร่
2515,เม.ย.,99.51,แพร่
2515,พ.ค.,89.05,แพร่
2515,มิ.ย.,95.83,แพร่
2515,ก.ค.,138.73,แพร่
2515,ส.ค.,214.1,แพร่
2515,ก.ย.,149.55,แพร่
2515,ต.ค.,145.73,แพร่
2515,พ.ย.,54.07,แพร่
2515,ธ.ค.,7.99,แพร่
2516,ม.ค.,0.0,แพร่
2516,ก.พ.,0.16,แพร่
2516,มี.ค.,104.37,แพร่
2516,เม.ย.,8.16,แพร่
2516,พ.ค.,198.6,แพร่
2516,มิ.ย.,134.55,แพร่
2516,ก.ค.,205.94,แพร่
2516,ส.ค.,321.46,แพร่
2516,ก.ย.,275.6,แพร่
2516,ต.ค.,60.03,แพร่
2516,พ.ย.,12.32,แพร่
2516,ธ.ค.,0.0,แพร่
2517,ม.ค.,0.02,แพร่
2517,ก.พ.,0.03,แพร่
2517,มี.ค.,55.93,แพร่
2517,เม.ย.,136.48,แพร่
2517,พ.ค.,151.87,แพร่
2517,มิ.ย.,126.44,แพร่
2517,ก.ค.,103.76,แพร่
2517,ส.ค.,275.16,แพร่
2517,ก.ย.,214.4,แพร่
2517,ต.ค.,132.76,แพร่
2517,พ.ย.,44.76,แพร่
2517,ธ.ค.,1.98,แพร่
2518,ม.ค.,75.08,แพร่
2518,ก.พ.,1.54,แพร่
2518,มี.ค.,21.75,แพร่
2518,เม.ย.,16.51,แพร่
2518,พ.ค.,217.9,แพร่
2518,มิ.ย.,149.12,แพร่
2518,ก.ค.,201.17,แพร่
2518,ส.ค.,431.37,แพร่
2518,ก.ย.,134.92,แพร่
2518,ต.ค.,135.28,แพร่
2518,พ.ย.,54.81,แพร่
2518,ธ.ค.,10.89,แพร่
2519,ม.ค.,0.0,แพร่
2519,ก.พ.,17.19,แพร่
2519,มี.ค.,5.58,แพร่
2519,เม.ย.,56.35,แพร่
2519,พ.ค.,178.31,แพร่
2519,มิ.ย.,147.15,แพร่
2519,ก.ค.,210.07,แพร่
2519,ส.ค.,191.12,แพร่
2519,ก.ย.,230.13,แพร่
2519,ต.ค.,96.59,แพร่
2519,พ.ย.,10.33,แพร่
2519,ธ.ค.,1.06,แพร่
2520,ม.ค.,55.33,แพร่
2520,ก.พ.,0.02,แพร่
2520,มี.ค.,36.8,แพร่
2520,เม.ย.,74.34,แพร่
2520,พ.ค.,167.43,แพร่
2520,มิ.ย.,31.88,แพร่
2520,ก.ค.,165.97,แพร่
2520,ส.ค.,222.62,แพร่
2520,ก.ย.,272.47,แพร่
2520,ต.ค.,130.64,แพร่
2520,พ.ย.,8.02,แพร่
2520,ธ.ค.,15.16,แพร่
2521,ม.ค.,6.66,แพร่
2521,ก.พ.,31.64,แพร่
2521,มี.ค.,2.67,แพร่
2521,เม.ย.,55.03,แพร่
2521,พ.ค.,166.27,แพร่
2521,มิ.ย.,117.18,แพร่
2521,ก.ค.,302.35,แพร่
2521,ส.ค.,259.11,แพร่
2521,ก.ย.,218.22,แพร่
2521,ต.ค.,79.89,แพร่
2521,พ.ย.,0.75,แพร่
2521,ธ.ค.,0.41,แพร่
2522,ม.ค.,1.53,แพร่
2522,ก.พ.,8.93,แพร่
2522,มี.ค.,3.77,แพร่
2522,เม.ย.,59.82,แพร่
2522,พ.ค.,115.32,แพร่
2522,มิ.ย.,159.86,แพร่
2522,ก.ค.,99.43,แพร่
2522,ส.ค.,197.65,แพร่
2522,ก.ย.,171.74,แพร่
2522,ต.ค.,43.26,แพร่
2522,พ.ย.,0.0,แพร่
2522,ธ.ค.,0.0,แพร่
2523,ม.ค.,0.0,แพร่
2523,ก.พ.,2.05,แพร่
2523,มี.ค.,39.66,แพร่
2523,เม.ย.,45.7,แพร่
2523,พ.ค.,188.37,แพร่
2523,มิ.ย.,205.32,แพร่
2523,ก.ค.,187.89,แพร่
2523,ส.ค.,176.0,แพร่
2523,ก.ย.,253.5,แพร่
2523,ต.ค.,64.54,แพร่
2523,พ.ย.,17.33,แพร่
2523,ธ.ค.,10.33,แพร่
2524,ม.ค.,0.03,แพร่
2524,ก.พ.,1.63,แพร่
2524,มี.ค.,23.96,แพร่
2524,เม.ย.,66.89,แพร่
2524,พ.ค.,272.2,แพร่
2524,มิ.ย.,116.62,แพร่
2524,ก.ค.,279.21,แพร่
2524,ส.ค.,134.37,แพร่
2524,ก.ย.,104.14,แพร่
2524,ต.ค.,119.3,แพร่
2524,พ.ย.,58.24,แพร่
2524,ธ.ค.,1.3,แพร่
2525,ม.ค.,0.39,แพร่
2525,ก.พ.,0.0,แพร่
2525,มี.ค.,5.64,แพร่
2525,เม.ย.,97.73,แพร่
2525,พ.ค.,132.61,แพร่
2525,มิ.ย.,81.87,แพร่
2525,ก.ค.,87.73,แพร่
2525,ส.ค.,169.83,แพร่
2525,ก.ย.,303.31,แพร่
2525,ต.ค.,68.13,แพร่
2525,พ.ย.,6.13,แพร่
2525,ธ.ค.,0.34,แพร่
2526,ม.ค.,9.89,แพร่
2526,ก.พ.,0.11,แพร่
2526,มี.ค.,0.36,แพร่
2526,เม.ย.,41.15,แพร่
2526,พ.ค.,195.37,แพร่
2526,มิ.ย.,119.08,แพร่
2526,ก.ค.,133.91,แพร่
2526,ส.ค.,134.93,แพร่
2526,ก.ย.,204.73,แพร่
2526,ต.ค.,141.38,แพร่
2526,พ.ย.,57.15,แพร่
2526,ธ.ค.,7.76,แพร่
2527,ม.ค.,0.04,แพร่
2527,ก.พ.,20.74,แพร่
2527,มี.ค.,0.9,แพร่
2527,เม.ย.,108.24,แพร่
2527,พ.ค.,178.07,แพร่
2527,มิ.ย.,154.7,แพร่
2527,ก.ค.,137.48,แพร่
2527,ส.ค.,185.86,แพร่
2527,ก.ย.,235.21,แพร่
2527,ต.ค.,133.49,แพร่
2527,พ.ย.,3.7,แพร่
2527,ธ.ค.,0.0,แพร่
2528,ม.ค.,0.73,แพร่
2528,ก.พ.,0.68,แพร่
2528,มี.ค.,1.76,แพร่
2528,เม.ย.,92.81,แพร่
2528,พ.ค.,180.84,แพร่
2528,มิ.ย.,100.67,แพร่
2528,ก.ค.,122.8,แพร่
2528,ส.ค.,197.32,แพร่
2528,ก.ย.,208.25,แพร่
2528,ต.ค.,176.64,แพร่
2528,พ.ย.,118.78,แพร่
2528,ธ.ค.,0.0,แพร่
2529,ม.ค.,0.0,แพร่
2529,ก.พ.,1.78,แพร่
2529,มี.ค.,2.4,แพร่
2529,เม.ย.,236.94,แพร่
2529,พ.ค.,153.33,แพร่
2529,มิ.ย.,138.59,แพร่
2529,ก.ค.,136.12,แพร่
2529,ส.ค.,162.8,แพร่
2529,ก.ย.,166.22,แพร่
2529,ต.ค.,81.94,แพร่
2529,พ.ย.,10.8,แพร่
2529,ธ.ค.,19.25,แพร่
2530,ม.ค.,0.0,แพร่
2530,ก.พ.,12.22,แพร่
2530,มี.ค.,42.41,แพร่
2530,เม.ย.,60.85,แพร่
2530,พ.ค.,74.63,แพร่
2530,มิ.ย.,177.79,แพร่
2530,ก.ค.,72.12,แพร่
2530,ส.ค.,296.26,แพร่
2530,ก.ย.,243.04,แพร่
2530,ต.ค.,73.68,แพร่
2530,พ.ย.,47.57,แพร่
2530,ธ.ค.,0.0,แพร่
2531,ม.ค.,5.14,แพร่
2531,ก.พ.,8.55,แพร่
2531,มี.ค.,2.63,แพร่
2531,เม.ย.,166.42,แพร่
2531,พ.ค.,203.37,แพร่
2531,มิ.ย.,202.72,แพร่
2531,ก.ค.,181.7,แพร่
2531,ส.ค.,238.37,แพร่
2531,ก.ย.,78.35,แพร่
2531,ต.ค.,106.3,แพร่
2531,พ.ย.,29.95,แพร่
2531,ธ.ค.,0.03,แพร่
2532,ม.ค.,2.22,แพร่
2532,ก.พ.,0.17,แพร่
2532,มี.ค.,8.9,แพร่
2532,เม.ย.,28.05,แพร่
2532,พ.ค.,273.93,แพร่
2532,มิ.ย.,110.14,แพร่
2532,ก.ค.,144.4,แพร่
2532,ส.ค.,147.05,แพร่
2532,ก.ย.,177.81,แพร่
2532,ต.ค.,111.37,แพร่
2532,พ.ย.,2.73,แพร่
2532,ธ.ค.,0.0,แพร่
2533,ม.ค.,0.57,แพร่
2533,ก.พ.,8.47,แพร่
2533,มี.ค.,38.16,แพร่
2533,เม.ย.,49.94,แพร่
2533,พ.ค.,304.8,แพร่
2533,มิ.ย.,129.92,แพร่
2533,ก.ค.,157.78,แพร่
2533,ส.ค.,174.4,แพร่
2533,ก.ย.,217.27,แพร่
2533,ต.ค.,74.85,แพร่
2533,พ.ย.,34.93,แพร่
2533,ธ.ค.,0.0,แพร่
2534,ม.ค.,6.15,แพร่
2534,ก.พ.,0.0,แพร่
2534,มี.ค.,10.13,แพร่
2534,เม.ย.,50.27,แพร่
2534,พ.ค.,148.8,แพร่
2534,มิ.ย.,142.52,แพร่
2534,ก.ค.,125.28,แพร่
2534,ส.ค.,251.92,แพร่
2534,ก.ย.,119.28,แพร่
2534,ต.ค.,79.72,แพร่
2534,พ.ย.,4.91,แพร่
2534,ธ.ค.,2.38,แพร่
2535,ม.ค.,15.86,แพร่
2535,ก.พ.,64.9,แพร่
2535,มี.ค.,0.0,แพร่
2535,เม.ย.,7.91,แพร่
2535,พ.ค.,69.59,แพร่
2535,มิ.ย.,127.84,แพร่
2535,ก.ค.,267.58,แพร่
2535,ส.ค.,190.85,แพร่
2535,ก.ย.,274.99,แพร่
2535,ต.ค.,103.27,แพร่
2535,พ.ย.,2.02,แพร่
2535,ธ.ค.,106.11,แพร่
2536,ม.ค.,0.0,แพร่
2536,ก.พ.,0.0,แพร่
2536,มี.ค.,43.48,แพร่
2536,เม.ย.,65.55,แพร่
2536,พ.ค.,106.86,แพร่
2536,มิ.ย.,91.08,แพร่
2536,ก.ค.,97.61,แพร่
2536,ส.ค.,138.72,แพร่
2536,ก.ย.,214.16,แพร่
2536,ต.ค.,48.28,แพร่
2536,พ.ย.,0.22,แพร่
2536,ธ.ค.,0.57,แพร่
2537,ม.ค.,0.0,แพร่
2537,ก.พ.,2.71,แพร่
2537,มี.ค.,109.35,แพร่
2537,เม.ย.,72.85,แพร่
2537,พ.ค.,332.62,แพร่
2537,มิ.ย.,187.21,แพร่
2537,ก.ค.,236.86,แพร่
2537,ส.ค.,307.78,แพร่
2537,ก.ย.,138.9,แพร่
2537,ต.ค.,48.04,แพร่
2537,พ.ย.,4.83,แพร่
2537,ธ.ค.,8.02,แพร่
2538,ม.ค.,1.21,แพร่
2538,ก.พ.,0.9,แพร่
2538,มี.ค.,12.34,แพร่
2538,เม.ย.,25.93,แพร่
2538,พ.ค.,185.34,แพร่
2538,มิ.ย.,123.08,แพร่
2538,ก.ค.,237.42,แพร่
2538,ส.ค.,377.74,แพร่
2538,ก.ย.,154.22,แพร่
2538,ต.ค.,96.52,แพร่
2538,พ.ย.,95.34,แพร่
2538,ธ.ค.,0.0,แพร่
2539,ม.ค.,0.14,แพร่
2539,ก.พ.,33.0,แพร่
2539,มี.ค.,21.23,แพร่
2539,เม.ย.,115.05,แพร่
2539,พ.ค.,63.71,แพร่
2539,มิ.ย.,194.89,แพร่
2539,ก.ค.,99.13,แพร่
2539,ส.ค.,264.69,แพร่
2539,ก.ย.,259.42,แพร่
2539,ต.ค.,118.76,แพร่
2539,พ.ย.,39.51,แพร่
2539,ธ.ค.,0.05,แพร่
2540,ม.ค.,0.01,แพร่
2540,ก.พ.,0.54,แพร่
2540,มี.ค.,47.87,แพร่
2540,เม.ย.,63.06,แพร่
2540,พ.ค.,103.26,แพร่
2540,มิ.ย.,55.17,แพร่
2540,ก.ค.,195.98,แพร่
2540,ส.ค.,287.25,แพร่
2540,ก.ย.,196.6,แพร่
2540,ต.ค.,84.9,แพร่
2540,พ.ย.,4.87,แพร่
2540,ธ.ค.,0.0,แพร่
2541,ม.ค.,3.19,แพร่
2541,ก.พ.,0.21,แพร่
2541,มี.ค.,25.05,แพร่
2541,เม.ย.,102.76,แพร่
2541,พ.ค.,162.25,แพร่
2541,มิ.ย.,135.05,แพร่
2541,ก.ค.,148.27,แพร่
2541,ส.ค.,172.25,แพร่
2541,ก.ย.,236.25,แพร่
2541,ต.ค.,52.8,แพร่
2541,พ.ย.,30.48,แพร่
2541,ธ.ค.,0.31,แพร่
2542,ม.ค.,13.97,แพร่
2542,ก.พ.,19.1,แพร่
2542,มี.ค.,20.84,แพร่
2542,เม.ย.,151.85,แพร่
2542,พ.ค.,180.87,แพร่
2542,มิ.ย.,124.17,แพร่
2542,ก.ค.,98.44,แพร่
2542,ส.ค.,210.37,แพร่
2542,ก.ย.,237.78,แพร่
2542,ต.ค.,138.52,แพร่
2542,พ.ย.,31.25,แพร่
2542,ธ.ค.,7.16,แพร่
2543,ม.ค.,0.01,แพร่
2543,ก.พ.,36.97,แพร่
2543,มี.ค.,10.89,แพร่
2543,เม.ย.,69.59,แพร่
2543,พ.ค.,248.56,แพร่
2543,มิ.ย.,161.92,แพร่
2543,ก.ค.,140.51,แพร่
2543,ส.ค.,173.14,แพร่
2543,ก.ย.,222.62,แพร่
2543,ต.ค.,90.59,แพร่
2543,พ.ย.,1.19,แพร่
2543,ธ.ค.,0.06,แพร่
2544,ม.ค.,4.59,แพร่
2544,ก.พ.,0.0,แพร่
2544,มี.ค.,172.1,แพร่
2544,เม.ย.,26.74,แพร่
2544,พ.ค.,240.97,แพร่
2544,มิ.ย.,107.45,แพร่
2544,ก.ค.,200.68,แพร่
2544,ส.ค.,356.51,แพร่
2544,ก.ย.,144.27,แพร่
2544,ต.ค.,180.85,แพร่
2544,พ.ย.,2.93,แพร่
2544,ธ.ค.,0.97,แพร่
2545,ม.ค.,7.99,แพร่
2545,ก.พ.,1.22,แพร่
2545,มี.ค.,18.69,แพร่
2545,เม.ย.,27.5,แพร่
2545,พ.ค.,265.72,แพร่
2545,มิ.ย.,91.02,แพร่
2545,ก.ค.,136.1,แพร่
2545,ส.ค.,338.89,แพร่
2545,ก.ย.,239.01,แพร่
2545,ต.ค.,100.59,แพร่
2545,พ.ย.,90.05,แพร่
2545,ธ.ค.,21.83,แพร่
2546,ม.ค.,7.42,แพร่
2546,ก.พ.,3.94,แพร่
2546,มี.ค.,57.15,แพร่
2546,เม.ย.,48.57,แพร่
2546,พ.ค.,116.05,แพร่
2546,มิ.ย.,165.32,แพร่
2546,ก.ค.,195.88,แพร่
2546,ส.ค.,159.27,แพร่
2546,ก.ย.,230.8,แพร่
2546,ต.ค.,15.07,แพร่
2546,พ.ย.,0.78,แพร่
2546,ธ.ค.,0.0,แพร่
2547,ม.ค.,1.95,แพร่
2547,ก.พ.,5.27,แพร่
2547,มี.ค.,0.82,แพร่
2547,เม.ย.,71.28,แพร่
2547,พ.ค.,217.36,แพร่
2547,มิ.ย.,270.7,แพร่
2547,ก.ค.,200.33,แพร่
2547,ส.ค.,97.43,แพร่
2547,ก.ย.,275.1,แพร่
2547,ต.ค.,16.73,แพร่
2547,พ.ย.,30.87,แพร่
2547,ธ.ค.,0.0,แพร่
2548,ม.ค.,17.24,แพร่
2548,ก.พ.,2.76,แพร่
2548,มี.ค.,27.81,แพร่
2548,เม.ย.,102.71,แพร่
2548,พ.ค.,103.03,แพร่
2548,มิ.ย.,176.77,แพร่
2548,ก.ค.,187.83,แพร่
2548,ส.ค.,218.92,แพร่
2548,ก.ย.,366.04,แพร่
2548,ต.ค.,48.68,แพร่
2548,พ.ย.,31.48,แพร่
2548,ธ.ค.,13.04,แพร่
2549,ม.ค.,0.0,แพร่
2549,ก.พ.,10.62,แพร่
2549,มี.ค.,28.5,แพร่
2549,เม.ย.,137.05,แพร่
2549,พ.ค.,322.26,แพร่
2549,มิ.ย.,149.07,แพร่
2549,ก.ค.,218.48,แพร่
2549,ส.ค.,298.42,แพร่
2549,ก.ย.,186.13,แพร่
2549,ต.ค.,151.27,แพร่
2549,พ.ย.,0.08,แพร่
2549,ธ.ค.,0.32,แพร่
2550,ม.ค.,0.05,แพร่
2550,ก.พ.,5.52,แพร่
2550,มี.ค.,12.22,แพร่
2550,เม.ย.,77.38,แพร่
2550,พ.ค.,267.28,แพร่
2550,มิ.ย.,141.16,แพร่
2550,ก.ค.,99.77,แพร่
2550,ส.ค.,181.92,แพร่
2550,ก.ย.,194.76,แพร่
2550,ต.ค.,93.13,แพร่
2550,พ.ย.,4.26,แพร่
2550,ธ.ค.,0.0,แพร่
2551,ม.ค.,28.09,แพร่
2551,ก.พ.,30.08,แพร่
2551,มี.ค.,27.01,แพร่
2551,เม.ย.,109.26,แพร่
2551,พ.ค.,102.1,แพร่
2551,มิ.ย.,211.4,แพร่
2551,ก.ค.,206.68,แพร่
2551,ส.ค.,167.69,แพร่
2551,ก.ย.,167.6,แพร่
2551,ต.ค.,112.79,แพร่
2551,พ.ย.,49.8,แพร่
2551,ธ.ค.,20.84,แพร่
2552,ม.ค.,0.01,แพร่
2552,ก.พ.,2.07,แพร่
2552,มี.ค.,15.84,แพร่
2552,เม.ย.,93.49,แพร่
2552,พ.ค.,184.37,แพร่
2552,มิ.ย.,214.2,แพร่
2552,ก.ค.,135.89,แพร่
2552,ส.ค.,172.97,แพร่
2552,ก.ย.,174.94,แพร่
2552,ต.ค.,95.07,แพร่
2552,พ.ย.,9.6,แพร่
2552,ธ.ค.,0.05,แพร่
2553,ม.ค.,28.74,แพร่
2553,ก.พ.,0.63,แพร่
2553,มี.ค.,13.18,แพร่
2553,เม.ย.,21.94,แพร่
2553,พ.ค.,73.57,แพร่
2553,มิ.ย.,128.93,แพร่
2553,ก.ค.,140.75,แพร่
2553,ส.ค.,405.95,แพร่
2553,ก.ย.,199.16,แพร่
2553,ต.ค.,102.46,แพร่
2553,พ.ย.,0.13,แพร่
2553,ธ.ค.,22.05,แพร่
2554,ม.ค.,3.5,แพร่
2554,ก.พ.,0.7,แพร่
2554,มี.ค.,96.99,แพร่
2554,เม.ย.,203.54,แพร่
2554,พ.ค.,229.85,แพร่
2554,มิ.ย.,198.92,แพร่
2554,ก.ค.,285.66,แพร่
2554,ส.ค.,297.09,แพร่
2554,ก.ย.,317.07,แพร่
2554,ต.ค.,112.55,แพร่
2554,พ.ย.,4.91,แพร่
2554,ธ.ค.,1.17,แพร่
2555,ม.ค.,9.46,แพร่
2555,ก.พ.,4.3,แพร่
2555,มี.ค.,45.1,แพร่
2555,เม.ย.,80.97,แพร่
2555,พ.ค.,356.14,แพร่
2555,มิ.ย.,108.11,แพร่
2555,ก.ค.,176.41,แพร่
2555,ส.ค.,150.0,แพร่
2555,ก.ย.,251.53,แพร่
2555,ต.ค.,69.51,แพร่
2555,พ.ย.,44.73,แพร่
2555,ธ.ค.,3.3,แพร่
2556,ม.ค.,43.0,แพร่
2556,ก.พ.,25.59,แพร่
2556,มี.ค.,9.64,แพร่
2556,เม.ย.,85.34,แพร่
2556,พ.ค.,123.85,แพร่
2556,มิ.ย.,105.99,แพร่
2556,ก.ค.,141.86,แพร่
2556,ส.ค.,300.92,แพร่
2556,ก.ย.,144.86,แพร่
2556,ต.ค.,120.83,แพร่
2556,พ.ย.,18.8,แพร่
2556,ธ.ค.,27.85,แพร่
2557,ม.ค.,0.0,แพร่
2557,ก.พ.,1.74,แพร่
2557,มี.ค.,16.15,แพร่
2557,เม.ย.,93.09,แพร่
2557,พ.ค.,186.64,แพร่
2557,มิ.ย.,168.49,แพร่
2557,ก.ค.,175.7,แพร่
2557,ส.ค.,222.9,แพร่
2557,ก.ย.,147.65,แพร่
2557,ต.ค.,58.47,แพร่
2557,พ.ย.,42.24,แพร่
2557,ธ.ค.,0.06,แพร่
2558,ม.ค.,58.33,แพร่
2558,ก.พ.,9.79,แพร่
2558,มี.ค.,28.83,แพร่
2558,เม.ย.,75.13,แพร่
2558,พ.ค.,90.36,แพร่
2558,มิ.ย.,82.19,แพร่
2558,ก.ค.,138.29,แพร่
2558,ส.ค.,185.28,แพร่
2558,ก.ย.,115.94,แพร่
2558,ต.ค.,90.62,แพร่
2558,พ.ย.,8.56,แพร่
2558,ธ.ค.,54.8,แพร่
2559,ม.ค.,47.6,แพร่
2559,ก.พ.,1.06,แพร่
2559,มี.ค.,0.35,แพร่
2559,เม.ย.,28.17,แพร่
2559,พ.ค.,124.44,แพร่
2559,มิ.ย.,134.44,แพร่
2559,ก.ค.,254.03,แพร่
2559,ส.ค.,251.51,แพร่
2559,ก.ย.,215.3,แพร่
2559,ต.ค.,116.78,แพร่
2559,พ.ย.,64.17,แพร่
2559,ธ.ค.,6.43,แพร่
2560,ม.ค.,42.1,แพร่
2560,ก.พ.,0.0,แพร่
2560,มี.ค.,40.26,แพร่
2560,เม.ย.,106.05,แพร่
2560,พ.ค.,232.64,แพร่
2560,มิ.ย.,119.29,แพร่
2560,ก.ค.,258.51,แพร่
2560,ส.ค.,221.75,แพร่
2560,ก.ย.,250.72,แพร่
2560,ต.ค.,127.38,แพร่
2560,พ.ย.,13.66,แพร่
2560,ธ.ค.,25.3,แพร่
2561,ม.ค.,17.96,แพร่
2561,ก.พ.,32.0,แพร่
2561,มี.ค.,23.35,แพร่
2561,เม.ย.,159.94,แพร่
2561,พ.ค.,174.48,แพร่
2561,มิ.ย.,127.78,แพร่
2561,ก.ค.,228.37,แพร่
2561,ส.ค.,160.83,แพร่
2561,ก.ย.,112.79,แพร่
2561,ต.ค.,75.99,แพร่
2561,พ.ย.,3.62,แพร่
2561,ธ.ค.,6.58,แพร่
2562,ม.ค.,31.09,แพร่
2562,ก.พ.,5.52,แพร่
2562,มี.ค.,6.31,แพร่
2562,เม.ย.,43.43,แพร่
2562,พ.ค.,167.0,แพร่
2562,มิ.ย.,74.12,แพร่
2562,ก.ค.,117.88,แพร่
2562,ส.ค.,370.88,แพร่
2562,ก.ย.,140.89,แพร่
2562,ต.ค.,44.89,แพร่
2562,พ.ย.,15.64,แพร่
2562,ธ.ค.,2.41,แพร่
2563,ม.ค.,0.01,แพร่
2563,ก.พ.,0.09,แพร่
2563,มี.ค.,3.76,แพร่
2563,เม.ย.,76.2,แพร่
2563,พ.ค.,130.58,แพร่
2563,มิ.ย.,173.81,แพร่
2563,ก.ค.,163.27,แพร่
2563,ส.ค.,400.38,แพร่
2563,ก.ย.,167.64,แพร่
2563,ต.ค.,66.1,แพร่
2563,พ.ย.,4.59,แพร่
2563,ธ.ค.,0.0,แพร่
2564,ม.ค.,0.24,แพร่
2564,ก.พ.,10.1,แพร่
2564,มี.ค.,5.66,แพร่
2564,เม.ย.,186.05,แพร่
2564,พ.ค.,121.12,แพร่
2564,มิ.ย.,54.34,แพร่
2564,ก.ค.,212.33,แพร่
2564,ส.ค.,178.52,แพร่
2564,ก.ย.,239.49,แพร่
2564,ต.ค.,128.69,แพร่
2564,พ.ย.,8.76,แพร่
2564,ธ.ค.,0.26,แพร่
2565,ม.ค.,22.19,แพร่
2565,ก.พ.,51.36,แพร่
2565,มี.ค.,42.95,แพร่
2565,เม.ย.,166.67,แพร่
2565,พ.ค.,203.18,แพร่
2565,มิ.ย.,72.27,แพร่
2565,ก.ค.,214.47,แพร่
2565,ส.ค.,225.99,แพร่
2565,ก.ย.,256.52,แพร่
2565,ต.ค.,107.03,แพร่
2565,พ.ย.,12.76,แพร่
2565,ธ.ค.,3.58,แพร่
2566,ม.ค.,0.66,แพร่
2566,ก.พ.,2.49,แพร่
2566,มี.ค.,15.04,แพร่
2566,เม.ย.,10.58,แพร่
2566,พ.ค.,114.81,แพร่
2566,มิ.ย.,102.78,แพร่
2566,ก.ค.,104.13,แพร่
2566,ส.ค.,82.15,แพร่
2566,ก.ย.,436.67,แพร่
2566,ต.ค.,217.06,แพร่
2566,พ.ย.,7.31,แพร่
2566,ธ.ค.,1.5,แพร่
2567,ม.ค.,5.36,แพร่
2567,ก.พ.,0.55,แพร่
2567,มี.ค.,24.91,แพร่
2567,เม.ย.,24.39,แพร่
2567,พ.ค.,235.11,แพร่
2567,มิ.ย.,144.72,แพร่
2567,ก.ค.,379.73,แพร่
2567,ส.ค.,316.12,แพร่
2567,ก.ย.,246.75,แพร่
2567,ต.ค.,94.01,แพร่
2567,พ.ย.,22.19,แพร่
2567,ธ.ค.,4.28,แพร่
2568,ม.ค.,0.0,แพร่
2568,ก.พ.,14.97,แพร่
2568,มี.ค.,2.7,แพร่
2568,เม.ย.,103.13,แพร่
2568,พ.ค.,331.19,แพร่
2568,มิ.ย.,115.6,แพร่
2568,ก.ค.,252.19,แพร่
2568,ส.ค.,260.78,แพร่
2568,ก.ย.,218.61,แพร่
2568,ต.ค.,101.13,แพร่
2568,พ.ย.,114.76,แพร่
2568,ธ.ค.,8.77,แพร่
